Категория;Подкатегория;Группа;Подгруппа;Товар;Бренд;Максимальная продажная цена;Средняя цена продажи (руб)
135. Сыры;135.16. Деликатесные, десертные сыры;135.16.20. Сыры белая плесень;135.16.20.20. Бри (шт);БЗМЖ Сыр Zhukovka Бри 60% 150г Россия;WhiteCheese from Zhukovka; 354 ;
135. Сыры;135.16. Деликатесные, десертные сыры;135.16.23. Сыры голубая плесень;135.16.23.16. Сыры голубая плесень шт;БЗМЖ Сыр Terra del Gusto Горгонзол 60% 100г Россия;Terra del gusto; 354 ; 286 
135. Сыры;135.16. Деликатесные, десертные сыры;135.16.32. Сыры из смешанного, козьего, овечьего молока;135.16.32.16. Сыры из смешанного молока шт;БЗМЖ Сыр OKEY Selection козий 50% нарезка 150г;О'кей; 354 ;
135. Сыры;135.19. Плавленые, копченые, колбасные  сыры;135.19.11. Плавленый сыр;135.19.11.14. Сыр плавленый ванночка;БЗМЖ Сыр плавленый Виола  грибной жюльен, мдж  35%, 400г;Viola; 354 ; 245 
135. Сыры;135.19. Плавленые, копченые, колбасные  сыры;135.19.11. Плавленый сыр;135.19.11.14. Сыр плавленый ванночка;БЗМЖ Сыр плавленый Виола  Курочка-гриль, мдж 35%, 400г;Viola; 354 ;
135. Сыры;135.10. Сычужные сыры;135.10.12. Сыры сычужные твердые;135.10.12.15. Сыры сычужные твердые шт;БЗМЖ Cыр GRADIALI Пармезан 40% 165 г Россия;Gradiali; 349 ;
135. Сыры;135.10. Сычужные сыры;135.10.12. Сыры сычужные твердые;135.10.12.15. Сыры сычужные твердые шт;БЗМЖ Cыр GRADIALI Пармезан 40% 165 г Россия;Gradiali; 349 ;
135. Сыры;135.10. Сычужные сыры;135.10.12. Сыры сычужные твердые;135.10.12.15. Сыры сычужные твердые шт;БЗМЖ Cыр GREMILux Пармезан 40% 165 г Россия;GREMILux; 349 ; 273 
135. Сыры;135.10. Сычужные сыры;135.10.12. Сыры сычужные твердые;135.10.12.15. Сыры сычужные твердые шт;БЗМЖ Сыр Гранд САРМИЧ 45% 300г Россия;Сармич; 349 ;
135. Сыры;135.10. Сычужные сыры;135.10.12. Сыры сычужные твердые;135.10.12.18. Сыры сычужные твердые тертые шт;БЗМЖ Сыр Parme Пармезан Крошка 160г банка Россия;Parme; 349 ;
135. Сыры;135.10. Сычужные сыры;135.10.15. Сыры сычужные полутвердые;135.10.15.12. Сыры сычужные полутвердые весовые;БЗМЖ Сыр 'Качотта с красным перцем' Паниерэ 200г;Paniere; 349 ;
135. Сыры;135.10. Сычужные сыры;135.10.15. Сыры сычужные полутвердые;135.10.15.12. Сыры сычужные полутвердые весовые;БЗМЖ Сыр 'Качотта с перцем' Паниерэ 200г;Paniere; 349 ;
